HomeRegion,AcademicYear,Sex,TCAS,GPAX,NumAnwser,Status
South,0,0,1,2.95,12,MFU student
Bangkok,0,0,2,3.67,18,MFU student
North,0,0,1,3.84,14,MFU student
North,0,0,2,2.55,16,MFU student
North East,0,0,1,3.03,22,MFU student
North,0,0,2,3.87,22,MFU student
Bangkok,0,0,1,3.39,23,MFU student
Central,0,1,2,2.8,14,MFU student
Central,0,0,1,3.3,15,MFU student
North,0,0,1,3.09,23,MFU student
North,0,0,1,3.13,28,MFU student
North East,0,0,1,2.79,28,MFU student
South,0,0,1,3.38,22,MFU student
North,0,0,2,3.67,18,MFU student
North,0,0,1,3.27,5,MFU student
North,0,0,1,3.32,10,MFU student
Central,0,0,2,2.65,26,MFU student
North,0,1,2,2.94,10,MFU student
North,0,0,2,2.86,29,MFU student
East,0,0,2,2.8,16,MFU student
Bangkok,0,1,2,2.88,10,MFU student
Bangkok,0,1,1,3.15,16,MFU student
Bangkok,0,0,1,3.44,13,MFU student
North,0,0,2,2.62,23,MFU student
North,0,0,2,3.21,14,MFU student
North East,0,1,2,3.59,17,MFU student
East,0,0,1,2.65,17,MFU student
Bangkok,0,0,1,3.11,13,MFU student
South,0,1,1,3.67,23,MFU student
South,0,0,1,3.56,11,MFU student
Bangkok,0,0,1,2.86,17,MFU student
North,0,0,2,3.11,15,MFU student
North,0,0,1,3.8,11,MFU student
South,0,0,1,3.05,14,MFU student
North,0,0,1,2.52,14,MFU student
North,0,0,1,3.73,14,MFU student
Central,0,0,2,3.2,13,MFU student
Central,0,1,1,2.77,15,MFU student
North,0,0,1,3.16,7,MFU student
North,0,0,1,3.35,12,MFU student
Bangkok,0,0,2,2.73,25,MFU student
North,0,0,1,2.6,10,MFU student
North,0,0,1,3.35,15,MFU student
Bangkok,0,0,2,2.58,12,MFU student
Bangkok,0,0,2,2.86,19,MFU student
North,0,0,1,3.22,19,MFU student
South,0,0,2,3.09,19,MFU student
East,0,0,2,2.91,12,MFU student
North East,0,1,1,2.95,11,MFU student
North East,0,0,1,3,12,MFU student
North,0,0,1,2.71,30,MFU student
Central,0,0,2,3.03,21,MFU student
South,0,1,1,2.67,20,MFU student
South,0,0,2,2.89,5,MFU student
North,0,0,1,3.23,15,MFU student
North,0,0,1,3.58,27,MFU student
North,0,0,1,3.16,13,MFU student
Central,0,1,1,2.98,16,MFU student
Central,0,0,1,2.76,30,MFU student
North East,0,1,1,3.7,10,MFU student
South,0,1,1,2.5,10,MFU student
Bangkok,0,1,2,2.72,15,MFU student
Bangkok,0,1,1,2.81,21,MFU student
North,0,1,1,3.61,18,MFU student
Central,0,0,2,3.46,8,MFU student
Central,0,0,1,3.51,18,MFU student
Bangkok,0,0,1,3.01,17,MFU student
East,0,0,1,3.4,30,MFU student
North,0,0,1,3.34,14,MFU student
South,0,1,1,2.53,21,MFU student
South,0,1,2,2.53,16,MFU student
North,0,1,1,3.2,14,MFU student
East,0,0,1,3.21,22,MFU student
North,0,1,2,3.4,22,MFU student
West,0,0,1,3.39,16,MFU student
Bangkok,0,0,1,2.73,13,MFU student
East,0,0,1,3.21,12,MFU student
South,0,0,2,3.1,18,MFU student
North,0,0,2,3.35,26,MFU student
North East,0,1,2,3.15,12,MFU student
South,0,0,1,3.28,23,MFU student
North,0,1,1,3.47,22,MFU student
North East,0,0,2,2.34,19,MFU student
North East,0,0,2,2.71,17,MFU student
East,0,0,2,2.61,29,MFU student
Central,0,0,2,2.76,17,MFU student
North East,0,0,2,3.61,20,MFU student
North,0,1,2,2.74,15,MFU student
North,0,1,2,2.44,19,MFU student
Bangkok,0,1,2,2.93,11,MFU student
North,0,0,2,2.87,9,MFU student
Central,0,0,2,2.78,26,MFU student
South,0,0,1,2.98,13,MFU student
North,0,0,2,2.68,14,MFU student
Central,0,0,2,3.44,16,MFU student
North East,0,0,1,3.32,18,MFU student
North,0,0,1,3.32,27,MFU student
South,0,0,1,3.22,13,MFU student
North,0,0,1,2.97,8,MFU student
North,0,0,2,2.82,20,MFU student
North,0,0,2,3.16,14,MFU student
South,0,0,1,3.01,18,MFU student
Bangkok,0,0,2,2.75,18,MFU student
North,0,1,1,2.66,16,MFU student
Central,0,0,1,3.5,14,MFU student
North,0,0,1,2.82,22,MFU student
North,0,1,2,2.84,19,MFU student
North East,0,0,1,3.69,16,MFU student
North,0,0,1,2.75,11,MFU student
North,0,0,1,3.07,14,MFU student
North,0,1,1,3.18,15,MFU student
Bangkok,0,0,2,3.15,14,MFU student
South,0,0,1,3.58,19,MFU student
Central,0,0,1,3.25,18,MFU student
North,0,0,1,2.8,18,MFU student
North,0,0,1,2.52,15,MFU student
Central,0,0,2,2.71,14,MFU student
North,0,0,2,3.44,30,MFU student
Bangkok,0,0,1,3.32,18,MFU student
North East,0,0,1,3.42,8,MFU student
East,0,1,1,3.13,21,MFU student
North,0,0,2,2.55,9,MFU student
North,0,0,2,3.05,14,MFU student
South,0,0,1,3.2,25,MFU student
North,0,0,2,3.3,18,MFU student
North,0,0,2,2.63,24,MFU student
North,0,0,1,3.83,13,MFU student
Bangkok,0,0,1,3.29,13,MFU student
North,0,0,1,3.16,27,MFU student
East,0,0,1,3.88,11,MFU student
North East,0,0,1,3.74,15,MFU student
North East,0,0,2,3.69,16,MFU student
South,0,1,2,2.49,12,MFU student
Central,0,1,1,2.63,7,MFU student
North,0,0,1,2.66,21,MFU student
North,0,0,2,2.69,20,MFU student
North,0,0,1,3.16,23,MFU student
North,0,0,2,3.61,22,MFU student
Central,0,0,2,2.72,15,MFU student
North,0,0,1,3.31,13,MFU student
North,0,0,2,3.36,13,MFU student
Central,0,0,2,3.22,12,MFU student
North East,0,0,1,3.33,18,MFU student
Central,0,1,1,2.88,15,MFU student
North,0,1,2,2.56,13,MFU student
North East,0,0,1,2.59,27,MFU student
North,0,0,2,2.52,25,MFU student
North,0,0,1,3.69,19,MFU student
South,0,0,1,3.03,16,MFU student
East,0,0,1,3.5,8,MFU student
North,0,0,1,3.13,22,MFU student
North,0,0,2,2.86,15,MFU student
South,0,0,1,3.26,21,MFU student
East,0,1,1,3.26,16,MFU student
South,0,0,2,3.09,18,MFU student
North East,0,0,2,2.57,12,MFU student
North East,0,1,1,2.66,12,MFU student
South,0,0,1,3.12,21,MFU student
North East,0,0,1,3.68,22,MFU student
Bangkok,0,0,2,3.16,21,MFU student
Bangkok,0,0,1,2.98,14,MFU student
North,0,1,1,3.4,27,MFU student
North,0,0,1,2.81,11,MFU student
East,0,0,1,2.57,18,MFU student
South,0,0,2,2.94,18,MFU student
North,0,0,1,3.33,15,MFU student
Bangkok,0,1,1,3.55,5,MFU student
North,0,0,1,3.53,10,MFU student
South,0,0,2,2.99,16,MFU student
North,0,0,2,3.31,19,MFU student
East,0,0,1,3.67,16,MFU student
North,0,0,2,2.91,24,MFU student
Bangkok,0,0,2,2.83,23,MFU student
North,0,0,2,2.69,18,MFU student
North,0,1,1,3.41,17,MFU student
North East,0,0,1,3.09,22,MFU student
South,0,0,2,2.8,16,MFU student
Central,0,0,2,3.22,13,MFU student
Central,0,1,2,2.58,9,MFU student
North East,0,0,1,3.6,24,MFU student
North,0,1,1,3.54,22,MFU student
North,0,0,1,3.29,28,MFU student
North,0,0,1,3.2,12,MFU student
North,0,0,2,3.23,23,MFU student
West,0,0,1,3.55,11,MFU student
North,0,0,2,2.52,24,MFU student
North,0,1,2,2.45,11,MFU student
North,0,1,2,2.38,18,MFU student
East,0,0,1,3.250711643,10,MFU student
North,0,0,2,3.18,17,MFU student
North,0,0,2,2.59,17,MFU student
North,0,0,1,2.73,19,MFU student
South,0,0,2,2.82,24,MFU student
North East,0,0,1,3.22,6,MFU student
South,0,0,1,3.5,12,MFU student
South,0,0,1,2.95,19,MFU student
North East,0,0,1,3.22,19,MFU student
North,0,0,1,2.91,25,MFU student
South,0,0,2,2.72,8,MFU student
Central,0,0,2,3.66,12,MFU student
North East,0,0,1,3.03,17,MFU student
South,0,0,1,3.52,12,MFU student
Central,0,0,2,3.42,8,MFU student
Bangkok,0,0,2,2.77,10,MFU student
South,0,0,2,2.26,15,MFU student
South,0,0,1,3.52,11,MFU student
Bangkok,0,1,1,2.53,10,MFU student
North,0,1,2,2.77,15,MFU student
Central,0,0,1,2.84,17,MFU student
North East,0,0,2,3.31,15,MFU student
North,0,0,1,3.72,10,MFU student
Bangkok,0,0,1,2.53,16,MFU student
South,0,0,1,3.04,12,MFU student
South,0,0,1,2.66,10,MFU student
South,0,0,2,2.97,23,MFU student
North,0,0,2,2.68,19,MFU student
North,0,0,2,3.18,26,MFU student
North,0,0,2,3.12,21,MFU student
North,0,0,1,2.8,9,MFU student
South,0,0,1,3.29,16,MFU student
Bangkok,0,1,1,3.09,19,MFU student
West,0,1,2,2,18,MFU student
Bangkok,0,1,1,2.52,7,MFU student
North,0,0,1,3.29,10,MFU student
North,0,0,5,2.97,8,MFU student
North,0,0,5,2.66,12,MFU student
North,0,0,5,3.21,8,MFU student
North,0,1,5,2.94,10,MFU student
North,0,0,5,3.51,12,MFU student
North East,0,0,5,2.51,9,MFU student
North,0,0,5,2.82,17,MFU student
Bangkok,0,0,5,3.23,16,MFU student
North,0,0,5,2.92,19,MFU student
South,0,0,5,2.8,5,MFU student
North,0,0,5,3.12,17,MFU student
Bangkok,0,0,5,2.96,21,MFU student
South,0,1,5,3.17,19,MFU student
North,0,0,5,2.52,11,MFU student
North,0,0,5,3.09,29,MFU student
North,0,1,5,2.44,16,MFU student
Central,0,1,5,2.88,19,MFU student
North,0,1,5,2.72,16,MFU student
Central,0,1,5,2.56,7,MFU student
North,0,1,5,2.64,8,MFU student
East,0,0,5,3.250711643,7,MFU student
Bangkok,0,0,5,3.1,17,MFU student
North,0,0,5,2.94,15,MFU student
North,0,1,5,2.77,13,MFU student
Bangkok,0,0,5,2.7,16,MFU student
South,0,1,5,2.34,14,MFU student
South,0,0,5,2.5,11,MFU student
South,0,1,5,2.4,10,MFU student
South,0,0,5,2.94,13,MFU student
North East,0,0,5,3.06,20,MFU student
Central,0,0,5,3.3,7,MFU student
Central,0,0,5,2.43,13,MFU student
North,0,0,5,3.2,16,MFU student
North,0,0,5,3.08,20,MFU student
North,0,0,5,3.08,13,MFU student
North,0,0,5,2.57,16,MFU student
Central,0,0,5,3.06,19,MFU student
North,0,1,5,2.05,8,MFU student
North East,0,0,5,2.89,18,MFU student
North,0,1,5,2.86,8,MFU student
North,0,0,5,3.32,11,MFU student
Central,0,1,5,2.89,11,MFU student
Central,0,1,5,2.8,8,MFU student
Central,0,1,5,2.29,6,MFU student
North,0,0,5,3.21,11,MFU student
North East,0,0,5,2.82,9,MFU student
Central,0,0,5,3.46,11,MFU student
North,0,0,5,3.19,26,MFU student
Central,0,0,5,3.14,16,MFU student
Bangkok,0,1,5,2.33,10,MFU student
North,0,0,5,2.51,7,MFU student
North,0,0,2,3.12,25,MFU student
North,0,0,2,3.21,20,MFU student
East,0,0,1,3.72,22,MFU student
South,0,0,1,2.89,23,MFU student
Bangkok,0,1,1,2.27,11,MFU student
North East,0,0,1,3.63,29,MFU student
Central,0,0,1,2.67,20,MFU student
North,0,0,2,2.58,23,MFU student
North,0,0,2,3.4,26,MFU student
North,0,1,1,3.34,17,MFU student
North,0,1,2,3.19,10,MFU student
North,0,0,2,2.8,18,MFU student
North,0,0,1,3.9,12,MFU student
North East,0,1,2,2.99,7,MFU student
Central,0,0,2,3.06,21,MFU student
North East,0,0,2,3.17,27,MFU student
North,0,0,1,3.21,16,MFU student
North,0,1,2,2.87,23,MFU student
South,0,0,1,3.06,5,MFU student
North,0,1,1,3.66,15,MFU student
North,0,0,2,3.14,14,MFU student
North,0,0,2,3.34,9,MFU student
Central,0,0,1,3.07,13,MFU student
North,0,0,2,3.8,26,MFU student
North,0,0,1,3.1,9,MFU student
East,0,1,2,2.63,13,MFU student
North,0,1,2,3.33,13,MFU student
Bangkok,0,0,1,2.36,24,MFU student
North,0,0,2,2.49,21,MFU student
Bangkok,0,0,2,3.48,20,MFU student
East,0,1,1,2.91,20,MFU student
North,0,0,1,3.24,19,MFU student
North,0,0,1,2.78,17,MFU student
North,0,0,1,3.59,24,MFU student
North,0,0,1,3.45,21,MFU student
East,0,0,2,2.29,11,MFU student
North,0,1,2,2.9,16,MFU student
North East,0,0,1,3.14,17,MFU student
North,0,1,1,2.94,22,MFU student
North,0,0,2,2.94,16,MFU student
East,0,0,1,3.25,23,MFU student
Bangkok,0,1,2,2.58,15,MFU student
North,0,0,2,2.73,15,MFU student
South,0,0,1,2.54,20,MFU student
South,0,0,1,2.75,11,MFU student
North,0,1,2,2.74,19,MFU student
North,0,1,2,3.16,18,MFU student
Bangkok,0,0,1,3.72,14,MFU student
North East,0,0,1,3.02,18,MFU student
Central,0,0,1,3.45,12,MFU student
North,0,0,1,2.02,25,MFU student
Bangkok,0,1,2,2.5,6,MFU student
Central,0,0,1,2.89,13,MFU student
North,0,0,2,3.66,18,MFU student
